,caption,likes,URL,comments,labels
0,"Photo by @stephenwilkes | The water creates a surreal color landscape as the sun sets in Robson Bight.To see more photos from my travels near and far, visit me @stephenwilkes.#DayToNight #StephenWilkes #Abstraction #Water #Nature #Canada #Colorful","55,694 likes",https://scontent-dfw5-2.cdninstagram.com/vp/53a7afc97f0f6c5b63f58876f68a5445/5C778D9B/t51.2885-15/fr/e15/s1080x1080/44547611_1927065887588899_6752347140131637726_n.jpg,196,"['blue', 'sky', 'water', 'reflection', 'atmosphere', 'daytime', 'line', 'calm', 'wave', 'computer wallpaper']"
1,"Photos by @richardbarnes | After completing a photographic assignment at the California Academy of Sciences I was walking out of the African Hall when I noticed a painter on a Scaffold repainting a scene in a diorama that had been damaged by smoke from a fire that had recently occurred. I was struck by the strangeness of the scene of this beautiful surreal savannah with giraffe, wildebeest, etc. wrapped in protective plastic, juxtaposed with the painter amidst the tools of his trade. I received permission to return to photograph and this chance encounter led me on to the path to what would become my obsession with photographing Dioramas throughout the world in states of removal, restoration and often, sadly, destruction. There is a strange, some would say disturbing, irony, in going out into the wild and culling animals only to re-animate them to grace the halls of natural history museums. This work forms the basis of my photo series and book ""Animal Logic"".","102,213 likes",https://scontent-dfw5-2.cdninstagram.com/vp/68e27f6fd571039a439c8fea4ed8dbb8/5C75BCDE/t51.2885-15/e35/45261248_178171369792804_3951052749241070768_n.jpg,418,"['tree', 'wall', 'structure', 'arch', 'mural', 'painting', 'home', 'sky', 'plant', 'estate']"
2,"Photos by @laurentballesta | How to meet a living legend? First learn everything from it, read everything, listen to everything. Tell yourself that it does not matter the chances of success. Then win the trust of Peter Timm, the first diver who, in 2000, saw through his mask the silhouette of """"the greatest zoological discovery of the twentieth century"""" Consider real risks, prepare for them, look at irrational fears, tame them. Finally mock that the quest may be impossible, just make it look beautiful and honest. And so in 2010, at a depth of 120 meters, at the first second of the first dive, we saw and photographed for the first time the fish from the bottom of the ages, the one that was thought to have disappeared 65 million years ago: """"Gombessa"""" the coelacanth.","348,374 likes",https://scontent-dfw5-2.cdninstagram.com/vp/2ba3619c961328dbbb8d58f83deb13da/5C75DAD4/t51.2885-15/e35/44545009_2217863495118871_4146457584407075228_n.jpg,2163,"['blue', 'water', 'sea', 'underwater', 'ocean', 'sky', 'marine biology', 'atmosphere', 'sea turtle', 'calm']"
3,"Photo by @CristinaMittermeier | I met this Lisu man as he gathered gifts of the forest, in the Tibetan mountains of northwestern Yunnan in China. Here, each remote village has a sacred forest or ÛÏnongÛ where the people believe gods and ancestral spirits reside. Because of the forestÛªs spiritual nature, villagers are prohibited from harming it in any way, but they can collect fallen firewood, mushrooms, and medicinal plants. #FollowMe at @CristinaMittermeier for more of my photos from around the world. #enoughness #nature #photography","257,808 likes",https://scontent-dfw5-2.cdninstagram.com/vp/8ac6fd9886d74351bc96a40822aab2e5/5C823669/t51.2885-15/fr/e15/s1080x1080/45361610_283602519165799_2013958874665839695_n.jpg,614,"['plant', 'tree', 'organism', 'jungle', 'branch', 'forest']"
4,"Photo by David Chancellor @chancellordavid | Golden eagle chick, Cairngorm National Park, Scotland - these guys are incredibly important to the ecosystem and yet many in the highlands see them as pests, as they take large numbers of grouse, rabbit, hare, and young deer. We climbed down to this nest towards the end of July accompanying the licensed ringer who weighed, measured and ringed both the chicks in this nest; and yes he is very much watching me, I was after all pretty much sharing his nest _Ù÷_ÙÕ__ü Both have now fledged and will compliment the biodiversity of this region. ItÛªs vital that estates here support these populations - to see more from here and elsewhere, follow me @chancellodavid @thephotosociety @everydayextinction","340,355 likes",https://scontent-dfw5-2.cdninstagram.com/vp/83c967d1260c5331a3d7b148827b384c/5C73195E/t51.2885-15/fr/e15/p1080x1080/46247689_335619483907498_3848814825331051241_n.jpg,893,"['beak', 'fauna', 'bird of prey', 'eagle', 'bird', 'organism', 'hawk', 'wildlife', 'accipitriformes', 'vulture']"
5,"Photo by @simonnorfolkstudio | Adanac Military Cemetery is a burial ground for those killed in the World War I. It's near the French villages of Miraumont, Pys and Courcelette. The cemetery was laid out after the Armistice of November 11, 1918, when graves were brought in from the battlefields around Courcelette and small cemeteries surrounding Miraumont. The cemetery was designed by Sir Herbert Baker and contains 3186 casualties of the war from the UK, Canada, Australia, New Zealand and South Africa.I've been working for a couple of years now on a project about the aftermath of the war. For more on this and other projects, follow me @simonnorfolkstudio#france #history #war #memorial #firstworldwar #1918 #memory #WW1 #somme #armistice #peace #cemetery #LestWeForget #cwgc #commonwealth #wardead #adnaccemetery #canada #Miraumont #Courcelette","166,528 likes",https://scontent-dfw5-2.cdninstagram.com/vp/5c9ff206f44fc758670e32cf5a1ea01b/5C7B8428/t51.2885-15/fr/e15/s1080x1080/44310457_1921918651449673_6794589653387271456_n.jpg,340,"['sky', 'landmark', 'memorial', 'historic site', 'architecture', 'tree', 'evening', 'monument', 'arch', 'mausoleum']"
6,"Photo by @salvarezphoto | Chomolungma, as it is known in Tibet, rises like a giant pyramid of stone among the high peaks of Himalayas. Known in the west as Mount Everest, it is the tallest mountain in the world. The official height is 29,029 feet, but the mountain gains some height as the Indian land mass collides with Eurasia. The Himalayas are one of the best places to see the titanic forces of geology at work. Follow @salvarezphoto for more #Chomolungma #everest #aerial","292,730 likes",https://scontent-dfw5-2.cdninstagram.com/vp/46c6b41d291e25aba293a25deb7cc149/5C7FC803/t51.2885-15/fr/e15/s1080x1080/43137268_1109511942550439_5707440358135551385_n.jpg,554,"['black and white', 'mountainous landforms', 'mountain', 'sky', 'cloud', 'monochrome photography', 'photography', 'mountain range', 'geological phenomenon', 'monochrome']"
7,"Photo by @melissafarlow | Morning fog lifts and sun and shadows paint Keller Reservoir and the surrounding Pennsylvania woods. Water and forest health are connected, which is the emphasis of a growing number of managed programs in the region. @thephotosociety @thenatureconservancy #woodlands #forest #trees #lockhaven #pennsylvania","303,821 likes",https://scontent-dfw5-2.cdninstagram.com/vp/ec8fa64a1b5999bbe6e004cf1c0da9e8/5C7AAA49/t51.2885-15/e15/44847211_1971436786276993_3933963992717103621_n.jpg,559,"['reflection', 'nature', 'water', 'loch', 'lake', 'sky', 'wilderness', 'tarn', 'nature reserve', 'reservoir']"
8,"Photo by @amivitale | Ntipiyon Nonguta and her son Bernard, one, relax with their neighbors as they make beaded belts for theLoisaba Community Trust in Ewaso Village in Laikipia, Kenya. These women are in a community surrounding Loisaba Conservancy (@loisaba_conservancy) and are being supported and given access to international markets. Revenue from ecotourism is reinvested into neighboring communities like #Ewaso.To get involved and learn more about community based conservation, please follow @loisaba_conservancy and @amivitale.@nature_org @natgeoimagecollection #kenya #magicalkenya #whyilovekenya #northernkenya #africa #children #mothersandsons #mothers #empowerment #conservation #everydayafrica #photojournalism #amivitale","208,926 likes",https://scontent-dfw5-2.cdninstagram.com/vp/81e3e04b9da7d04ff20d03c978bc0186/5C89248A/t51.2885-15/fr/e15/s1080x1080/44904753_194498844802328_8238377254064471543_n.jpg,715,"['people', 'vertebrate', 'plant', 'tree', 'community', 'crowd', 'tribe', 'rural area', 'temple', 'recreation']"
9,"Photos by @ciriljazbec | Bhutan is one of the world's remaining biodiversity hotspots. Fir trees create a dense cover in this forest. Approximately 72 percent of Bhutan is covered by forests. The country's government has a mandate that 60 percent will be protected for all time. Despite the government's environmental commitment, Bhutan's glaciers are retreating and melting, causing dangerous floods and resource scarcity. Hiking amidst these trees felt almost spiritual as if I encountered the Great Forest Spirit from the fantastic MiyazakiÛªs Princess Mononoke film. To discover more, follow the link in my @ciriljazbec profile.","434,399 likes",https://scontent-dfw5-2.cdninstagram.com/vp/0bbdf3818e10ec31e4638a211f81bb4a/5C7B7151/t51.2885-15/e35/44812885_2245727299030100_7356060787683191183_n.jpg,1403,"['tree', 'vegetation', 'forest', 'woody plant', 'woodland', 'ecosystem', 'old growth forest', 'branch', 'leaf', 'rainforest']"
