,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.7965999841690063,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," the water creates a surreal color landscape as the sun sets in robson bight.to see more photos from my travels near and far, visit me @stephenwilkes.#daytonight #stephenwilkes #abstraction #water #nature #canada #colorful"
1,1,3.0,0.7289000153541565,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," after completing a photographic assignment at the california academy of sciences i was walking out of the african hall when i noticed a painter on a scaffold repainting a scene in a diorama that had been damaged by smoke from a fire that had recently occurred. i was struck by the strangeness of the scene of this beautiful surreal savannah with giraffe, wildebeest, etc. wrapped in protective plastic, juxtaposed with the painter amidst the tools of his trade. i received permission to return to photograph and this chance encounter led me on to the path to what would become my obsession with photographing dioramas throughout the world in states of removal, restoration and often, sadly, destruction. there is a strange, some would say disturbing, irony, in going out into the wild and culling animals only to re-animate them to grace the halls of natural history museums. this work forms the basis of my photo series and book ""animal logic""."
2,2,3.0,0.7976999878883362,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," how to meet a living legend? first learn everything from it, read everything, listen to everything. tell yourself that it does not matter the chances of success. then win the trust of peter timm, the first diver who, in 2000, saw through his mask the silhouette of """"the greatest zoological discovery of the twentieth century"""" consider real risks, prepare for them, look at irrational fears, tame them. finally mock that the quest may be impossible, just make it look beautiful and honest. and so in 2010, at a depth of 120 meters, at the first second of the first dive, we saw and photographed for the first time the fish from the bottom of the ages, the one that was thought to have disappeared 65 million years ago: """"gombessa"""" the coelacanth."
3,3,3.0,0.8367000222206116,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," i met this lisu man as he gathered gifts of the forest, in the tibetan mountains of northwestern yunnan in china. here, each remote village has a sacred forest or âããnongâãâ where the people believe gods and ancestral spirits reside. because of the forestâãâªs spiritual nature, villagers are prohibited from harming it in any way, but they can collect fallen firewood, mushrooms, and medicinal plants. #followme at @cristinamittermeier for more of my photos from around the world. #enoughness #nature #photography"
4,4,1.0,0.8852999806404114,"fauna, wildlif, photographi, water, organ, mammal, anim, terrestri, bird, tree"," golden eagle chick, cairngorm national park, scotland - these guys are incredibly important to the ecosystem and yet many in the highlands see them as pests, as they take large numbers of grouse, rabbit, hare, and young deer. we climbed down to this nest towards the end of july accompanying the licensed ringer who weighed, measured and ringed both the chicks in this nest; and yes he is very much watching me, i was after all pretty much sharing his nest _ãã·â_ãã_ââ_âã¼â both have now fledged and will compliment the biodiversity of this region. itâãâªs vital that estates here support these populations - to see more from here and elsewhere, follow me @chancellodavid @thephotosociety @everydayextinction"
5,5,0.0,0.5902000069618225,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," adanac military cemetery is a burial ground for those killed in the world war i. it's near the french villages of miraumont, pys and courcelette. the cemetery was laid out after the armistice of november 11, 1918, when graves were brought in from the battlefields around courcelette and small cemeteries surrounding miraumont. the cemetery was designed by sir herbert baker and contains 3186 casualties of the war from the uk, canada, australia, new zealand and south africa.i've been working for a couple of years now on a project about the aftermath of the war. for more on this and other projects, follow me @simonnorfolkstudio#france #history #war #memorial #firstworldwar #1918 #memory #ww1 #somme #armistice #peace #cemetery #lestweforget #cwgc #commonwealth #wardead #adnaccemetery #canada #miraumont #courcelette"
6,6,2.0,0.8159999847412109,"geolog, rock, mountain, phenomenon, human, girl, cloud, format, landscap, atmospher"," chomolungma, as it is known in tibet, rises like a giant pyramid of stone among the high peaks of himalayas. known in the west as mount everest, it is the tallest mountain in the world. the official height is 29,029 feet, but the mountain gains some height as the indian land mass collides with eurasia. the himalayas are one of the best places to see the titanic forces of geology at work. follow @salvarezphoto for more #chomolungma #everest #aerial"
7,7,3.0,0.8845000267028809,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," morning fog lifts and sun and shadows paint keller reservoir and the surrounding pennsylvania woods. water and forest health are connected, which is the emphasis of a growing number of managed programs in the region. @thephotosociety @thenatureconservancy #woodlands #forest #trees #lockhaven #pennsylvania"
8,8,0.0,0.8640999794006348,"light, grass, landscap, dark, tree, night, ecoregion, girl, plant, area"," ntipiyon nonguta and her son bernard, one, relax with their neighbors as they make beaded belts for theloisaba community trust in ewaso village in laikipia, kenya. these women are in a community surrounding loisaba conservancy (@loisaba_conservancy) and are being supported and given access to international markets. revenue from ecotourism is reinvested into neighboring communities like #ewaso.to get involved and learn more about community based conservation, please follow @loisaba_conservancy and @amivitale.@nature_org @natgeoimagecollection #kenya #magicalkenya #whyilovekenya #northernkenya #africa #children #mothersandsons #mothers #empowerment #conservation #everydayafrica #photojournalism #amivitale"
9,9,3.0,0.8650000095367432,"water, natur, tree, wildlif, mammal, ocean, plant, fauna, forest, grass"," bhutan is one of the world's remaining biodiversity hotspots. fir trees create a dense cover in this forest. approximately 72 percent of bhutan is covered by forests. the country's government has a mandate that 60 percent will be protected for all time. despite the government's environmental commitment, bhutan's glaciers are retreating and melting, causing dangerous floods and resource scarcity. hiking amidst these trees felt almost spiritual as if i encountered the great forest spirit from the fantastic miyazakiâãâªs princess mononoke film. to discover more, follow the link in my @ciriljazbec profile."
